,per_it_avg_total_length,per_it_best_total_length,per_it_best_max_car_length,per_it_best_min_car_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
5635,42700.32822380414,38733.04406241046,1756.3011367849526,0.0,5329.969809696318,250453944.12028474,68026889.31795315
5636,40819.52527765439,38733.04406241046,1756.3011367849526,0.0,3145.1878810058597,139264408.99320176,68026889.31795315
5637,40215.29276888346,38733.04406241046,1756.3011367849526,0.0,3002.5288635149363,131183156.40505914,68026889.31795315
5638,43423.677873155524,38733.04406241046,1756.3011367849526,0.0,5288.363205615935,258996772.54768562,68026889.31795315
5639,41491.82728213414,38733.04406241046,1756.3011367849526,0.0,4110.223875459701,188273297.9236145,68026889.31795315
5640,44039.68694532789,38733.04406241046,1756.3011367849526,0.0,6389.931916745868,322615345.31074303,68026889.31795315
5641,46818.9629491979,38733.04406241046,1756.3011367849526,0.0,7878.985276691892,447526391.07444715,68026889.31795315
5642,42545.09343684139,38733.04406241046,1756.3011367849526,0.0,4258.142227407961,206332792.4857511,68026889.31795315
5643,40442.57893359505,38733.04406241046,1756.3011367849526,0.0,3022.4700407805462,130934993.66855541,68026889.31795315
5644,43419.79763733344,38733.04406241046,1756.3011367849526,0.0,6122.027687202794,291676208.27846473,68026889.31795315
5645,39061.59385815262,38733.04406241046,1756.3011367849526,0.0,2249.9598553445694,87925482.41438219,68026889.31795315
5646,40296.39141760892,38733.04406241046,1756.3011367849526,0.0,3279.583336253596,141359135.12563902,68026889.31795315
5647,42767.890464151526,38733.04406241046,1756.3011367849526,0.0,5211.343775545746,264190711.30861515,68026889.31795315
5648,41329.56295818942,38733.04406241046,1756.3011367849526,0.0,4210.954594848114,191336195.6892858,68026889.31795315
5649,39890.35514429696,38733.04406241046,1756.3011367849526,0.0,2899.2444502816697,125368712.10820504,68026889.31795315
5650,42579.77946321804,38733.04406241046,1756.3011367849526,0.0,5085.364916232816,237947264.54476348,68026889.31795315
5651,42319.68933566704,38733.04406241046,1756.3011367849526,0.0,4182.331270478239,231447947.20799717,68026889.31795315
5652,39114.9287095756,38733.04406241046,1756.3011367849526,0.0,1978.342807686399,77461482.49997891,68026889.31795315
5653,40231.64683895548,38733.04406241046,1756.3011367849526,0.0,3051.034836412845,132884780.39061217,68026889.31795315
5654,39234.157824922004,38733.04406241046,1756.3011367849526,0.0,2282.70320009306,89868599.37885869,68026889.31795315
5655,42552.299776199354,38733.04406241046,1756.3011367849526,0.0,4917.294711011421,234522340.48915258,68026889.31795315
5656,41191.02271079229,38733.04406241046,1756.3011367849526,0.0,3815.811236861493,173983426.6104806,68026889.31795315
5657,41333.68691274816,38733.04406241046,1756.3011367849526,0.0,4045.286643701404,186181375.07230344,68026889.31795315
5658,42408.61685484176,38733.04406241046,1756.3011367849526,0.0,4945.162858415866,251151140.7681094,68026889.31795315
5659,39583.00169220812,38733.04406241046,1756.3011367849526,0.0,2207.69101442685,87721443.55593026,68026889.31795315
5660,41427.84994561158,38733.04406241046,1756.3011367849526,0.0,2956.062352486317,143761138.99143207,68026889.31795315
5661,40046.7881627145,38733.04406241046,1756.3011367849526,0.0,2922.109607683241,125453438.55933337,68026889.31795315
5662,40385.32435329528,38733.04406241046,1756.3011367849526,0.0,3156.0836812095795,137138961.16592932,68026889.31795315
5663,40096.31794656544,38733.04406241046,1756.3011367849526,0.0,2899.356901712562,126266959.28779307,68026889.31795315
5664,41062.4801360547,38733.04406241046,1756.3011367849526,0.0,3799.194165280174,172475212.1574685,68026889.31795315
5665,45420.869942881196,38733.04406241046,1756.3011367849526,0.0,6919.483733926138,348815476.73045796,68026889.31795315
5666,41461.17096970162,38733.04406241046,1756.3011367849526,0.0,4159.580936402397,191052960.3281713,68026889.31795315
5667,39994.54590455284,38733.04406241046,1756.3011367849526,0.0,3013.2443218326343,131417282.38801424,68026889.31795315
5668,39043.075801671075,38733.04406241046,1756.3011367849526,0.0,1940.3742870302679,75824603.74498066,68026889.31795315
5669,38929.747762869345,38733.04406241046,1756.3011367849526,0.0,2029.7240310100926,79054154.3159976,68026889.31795315
5670,43013.17327266119,38733.04406241046,1756.3011367849526,0.0,5127.675072690609,243407770.3238222,68026889.31795315
5671,40392.51464383259,38733.04406241046,1756.3011367849526,0.0,3118.1044231755563,134972738.33538562,68026889.31795315
5672,39391.14035771029,38733.04406241046,1756.3011367849526,0.0,1995.556330467459,78808231.49793787,68026889.31795315
5673,38872.97835587906,38733.04406241046,1756.3011367849526,0.0,1878.5291769454084,73077191.27341537,68026889.31795315
